 Time	               Bundle ID	              Status	Comment
0.000	                       -	                   -	TALagent Started (system uptime: 33.49 sec, current time: 508435552.28)
0.009	                       -	                   -	Liveness: 0 -> 1 (run_as_server)
0.013	                       -	                   -	Liveness: 1 -> 2 (create_xpc_listener)
0.013	                       -	                   -	Blocking app contact
0.205	                       -	                   -	SecItemCopyMatching() returned errSecItemNotFound. Will attempt to regenerate the key.
0.205	                       -	                   -	Creating a new encryption key
0.366	                       -	                   -	Liveness: 2 -> 3 (server_show_windows_for_asns)
0.366	                       -	                   -	server_show_windows_for_asns start
0.366	                       -	                   -	Allowing apps to contact us
0.367	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.367	                       -	                   -	Still waiting for registration from Finder
0.367	                       -	                   -	Finder was already launched
0.367	                       -	                   -	Liveness: 3 -> 4 (add_app)
0.367	        com.apple.finder	           Launching	
0.368	        com.apple.finder	                   -	Skipping window creation because plist is unavailable: 1
0.368	        com.apple.finder	                   -	Skipping window creation because the archive was created prior to 10.10 (prev: 10.0)
0.368	                       -	                   -	loginwindow launched apps com.apple.finder
0.368	                       -	                   -	Bitmaps Ready (1 apps, 0 windows)
0.368	        com.apple.finder	                   -	Disposing because it has no windows
0.369	        com.apple.finder	            Disposed	
0.369	                       -	                   -	server_show_windows_for_asns end
0.369	                       -	                   -	Refusing connection from pid 373 (app was (null))
0.369	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.369	                       -	                   -	Still waiting for registration from Finder
0.369	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.369	                       -	                   -	Still waiting for registration from Finder
1.722	                       -	                   -	TAL launch still in progress because Finder has not checked in
1.722	                       -	                   -	Still waiting for registration from Finder
2.531	                       -	                   -	Liveness: 4 -> 3 (__remove_app_block_invoke)
3.291	                       -	                   -	Liveness: 3 -> 2 (__create_xpc_listener_block_invoke)
3.427	        com.apple.finder	                   -	Finder checked in
3.427	                       -	                   -	All started apps have registered (no remaining unregistered apps)
3.428	                       -	                   -	TAL Relaunch - all apps registered as ready
3.428	                       -	                   -	Liveness: 2 -> 1 (__server_show_windows_for_asns_block_invoke30)
16.503	                       -	                   -	Liveness: 1 -> 0 (__run_as_server_block_invoke)
16.503	                       -	                   -	Exiting out of boredom
